0,0
0.5,0
1,0
1.5,0
2,0
2.5,0
3,0
3.5,0
4,0
4.5,0
5,0
5.5,0
6,0
6.5,0
7,0
7.5,0
8,0
8.5,0
9,0
9.5,0
10,0
10,0.5
10,1
10,1.5
10,2
10,2.5
10,3
10,3.5
10,4
10,4.5
10,5
10,5.5
10,6
10,6.5
10,7
10,7.5
10,8
10,8.5
10,9
10,9.5
10,10
10,10
10,9.5
10,9
10,8.5
10,8
10,7.5
10,7
10,6.5
10,6
10,5.5
10,5
10,4.5
10,4
10,3.5
10,3
10,2.5
10,2
10,1.5
10,1
10,0.5
10,0
10,-0.5
10,-1
10,-1.5
10,-2
10,-2.5
10,-3
10,-3.5
10,-4
10,-4.5
10,-5
10,-5.5
10,-6
10,-6.5
10,-7
10,-7.5
10,-8
10,-8.5
10,-9
10,-9.5
10,-10
10,-10
9.5,-10
9,-10
8.5,-10
8,-10
7.5,-10
7,-10
6.5,-10
6,-10
5.5,-10
5,-10
4.5,-10
4,-10
3.5,-10
3,-10
2.5,-10
2,-10
1.5,-10
1,-10
0.5,-10
0,-10
-0.5,-10
-1,-10
-1.5,-10
-2,-10
-2.5,-10
-3,-10
-3.5,-10
-4,-10
-4.5,-10
-5,-10
-5.5,-10
-6,-10
-6.5,-10
-7,-10
-7.5,-10
-8,-10
-8.5,-10
-9,-10
-9.5,-10
-10,-10
-10,-10
-10,-9.5
-10,-9
-10,-8.5
-10,-8
-10,-7.5
-10,-7
-10,-6.5
-10,-6
-10,-5.5
-10,-5
-10,-4.5
-10,-4
-10,-3.5
-10,-3
-10,-2.5
-10,-2
-10,-1.5
-10,-1
-10,-0.5
-10,0
-10,0.5
-10,1
-10,1.5
-10,2
-10,2.5
-10,3
-10,3.5
-10,4
-10,4.5
-10,5
-10,5.5
-10,6
-10,6.5
-10,7
-10,7.5
-10,8
-10,8.5
-10,9
-10,9.5
-10,10
-10,10
-9.5,10
-9,10
-8.5,10
-8,10
-7.5,10
-7,10
-6.5,10
-6,10
-5.5,10
-5,10
-4.5,10
-4,10
-3.5,10
-3,10
-2.5,10
-2,10
-1.5,10
-1,10
-0.5,10
0,10
0.5,10
1,10
1.5,10
2,10
2.5,10
3,10
3.5,10
4,10
4.5,10
5,10
5.5,10
6,10
6.5,10
7,10
7.5,10
8,10
8.5,10
9,10
9.5,10
10,10
